dut_id,profile,status,dark_current_a,responsivity_a_per_w,repeatability_cv,compliance_tripped,reasons
PD-001,normal,PASS,8.314869950506538e-10,0.5500000195588562,2.4673075041207338e-08,False,
PD-002,normal,PASS,8.049831343163901e-10,0.5499999901367739,4.183322314417472e-08,False,
PD-003,normal,PASS,8.144939222964577e-10,0.550000017263925,5.489904990448285e-08,False,
PD-004,normal,PASS,8.233532811313494e-10,0.5499999705951344,4.475888680782846e-08,False,
PD-005,normal,PASS,8.22664729722228e-10,0.5499999915376127,2.7359320834466512e-08,False,
PD-006,normal,PASS,7.867924205208964e-10,0.5500000560161059,3.925609954973272e-08,False,
PD-007,normal,PASS,8.043931704419408e-10,0.5499999756754393,2.5672476601550053e-08,False,
PD-008,normal,PASS,8.217660208169852e-10,0.5499999912855228,3.440091137069995e-08,False,
PD-009,normal,PASS,7.9943076949165e-10,0.550000024212572,3.799034190626443e-08,False,
PD-010,normal,PASS,8.120161929580439e-10,0.5499999667075787,3.6805586538154395e-08,False,
PD-011,normal,PASS,8.367208306408749e-10,0.5499999327802397,3.857478125597309e-08,False,
PD-012,normal,PASS,8.111573205925508e-10,0.5500000237884913,3.887996417145944e-08,False,
PD-013,high_dark_current,FAIL,2.5007911240791462e-08,0.5499999804428478,4.755098027245711e-08,False,dark current above maximum
PD-014,low_responsivity,FAIL,8.44987913526345e-10,0.19999996301233988,1.0340883351079497e-07,False,responsivity below minimum
PD-015,noisy,FAIL,8.690551361827518e-10,0.5678494836670859,0.06597856620542,False,repeatability CV above maximum
PD-016,nonlinear,FAIL,7.666085986205443e-10,0.3025000478344329,5.81769122811174e-08,False,responsivity below minimum
PD-017,open_circuit,FAIL,1.6523968495615e-14,3.7876117476468573e-11,0.6928630139073826,False,responsivity below minimum; repeatability CV above maximum
PD-018,short_circuit,FAIL,0.001,0.0,0.0,True,current compliance tripped; dark current above maximum; responsivity below minimum
PD-019,communication_error,ERROR,,,,,simulated VISA timeout during connect
PD-020,normal,PASS,8.107221367090342e-10,0.5499999974105079,2.7957795952454445e-08,False,
