dut_id,profile,mode,voltage_v,optical_power_w,current_a
PD-001,normal,dark_iv,-5.0,0.0,-8.137212094923155e-10
PD-001,normal,dark_iv,-4.9,0.0,-8.348284696459351e-10
PD-001,normal,dark_iv,-4.8,0.0,-8.084646037358994e-10
PD-001,normal,dark_iv,-4.7,0.0,-7.977120894410532e-10
PD-001,normal,dark_iv,-4.6,0.0,-8.28407099516293e-10
PD-001,normal,dark_iv,-4.5,0.0,-8.478048108611539e-10
PD-001,normal,dark_iv,-4.4,0.0,-8.179516357863504e-10
PD-001,normal,dark_iv,-4.3,0.0,-8.292863884079967e-10
PD-001,normal,dark_iv,-4.2,0.0,-8.169618997523904e-10
PD-001,normal,dark_iv,-4.1,0.0,-8.107836735922786e-10
PD-001,normal,dark_iv,-4.0,0.0,-8.322049634741504e-10
PD-001,normal,dark_iv,-3.9,0.0,-8.527784297737159e-10
PD-001,normal,dark_iv,-3.8,0.0,-8.247988883506809e-10
PD-001,normal,dark_iv,-3.7,0.0,-8.118896091773128e-10
PD-001,normal,dark_iv,-3.6,0.0,-8.187192425794714e-10
PD-001,normal,dark_iv,-3.5,0.0,-8.327214638505623e-10
PD-001,normal,dark_iv,-3.4,0.0,-8.068751192735357e-10
PD-001,normal,dark_iv,-3.3,0.0,-8.040539070158311e-10
PD-001,normal,dark_iv,-3.2,0.0,-8.122025759640225e-10
PD-001,normal,dark_iv,-3.1,0.0,-7.943983074599043e-10
PD-001,normal,dark_iv,-3.0,0.0,-8.076581171217327e-10
PD-001,normal,dark_iv,-2.9,0.0,-8.434851568316615e-10
PD-001,normal,dark_iv,-2.8,0.0,-7.899151732991599e-10
PD-001,normal,dark_iv,-2.7,0.0,-8.268634431913057e-10
PD-001,normal,dark_iv,-2.6,0.0,-8.241316082243698e-10
PD-001,normal,dark_iv,-2.5,0.0,-8.174731823732471e-10
PD-001,normal,dark_iv,-2.4,0.0,-8.29710200648882e-10
PD-001,normal,dark_iv,-2.3,0.0,-8.31747210449399e-10
PD-001,normal,dark_iv,-2.2,0.0,-8.084689263880302e-10
PD-001,normal,dark_iv,-2.1,0.0,-8.108561698387782e-10
PD-001,normal,dark_iv,-2.0,0.0,-8.314869950506538e-10
PD-001,normal,dark_iv,-1.9,0.0,-7.887421748745027e-10
PD-001,normal,dark_iv,-1.8,0.0,-8.12317725277524e-10
PD-001,normal,dark_iv,-1.7,0.0,-7.487305401749506e-10
PD-001,normal,dark_iv,-1.6,0.0,-8.035047391991098e-10
PD-001,normal,dark_iv,-1.5,0.0,-7.857337651003201e-10
PD-001,normal,dark_iv,-1.4,0.0,-8.250515047826027e-10
PD-001,normal,dark_iv,-1.3,0.0,-8.068083537971601e-10
PD-001,normal,dark_iv,-1.2,0.0,-7.847322445429491e-10
PD-001,normal,dark_iv,-1.1,0.0,-8.13532468537508e-10
PD-001,normal,dark_iv,-1.0,0.0,-8.170876694339908e-10
PD-001,normal,dark_iv,-0.9,0.0,-8.290063395012513e-10
