dut_id,profile,status,batch_anomaly,batch_anomaly_score,clean_point_count,compliance_tripped,dark_current_a,dark_iv_point_count,detectivity_jones,duplicate_point_count,estimated_shunt_resistance_ohm,invalid_point_count,light_current_a,light_iv_point_count,linearity_max_error_fraction,linearity_r_squared,linearity_slope_a_per_w,measurement_seed,nep_w_per_sqrt_hz,noise_density_a_per_sqrt_hz,noise_rms_a,photocurrent_a,raw_point_count,reference_bias_v,repeatability_cv,repeatability_noise_std_a,responsivity_a_per_w,simulated_dark_saturation_current_a,simulated_instrument_gain_error,simulated_instrument_zero_offset_a,simulated_nominal_responsivity_a_per_w,simulated_temperature_c,spectral_peak_responsivity_a_per_w,spectral_peak_wavelength_nm,stability_drift_fraction,stability_range_fraction,target_spectral_ratio,reasons,error
PD-001,normal,PASS,False,0.0,167,False,3.91249240673696e-10,50,6336288757725.286,0,218042508231.44736,0,3.962892864184616e-05,50,5.005533888481567e-10,1.0,0.5283804992501252,20260910,4.32210855950477e-14,2.2837178755364673e-14,2.2837178755364673e-14,3.9628537392605487e-05,167,-2.0,3.124260794809226e-10,1.2381110809331611e-14,0.5283804985680732,3.572919726420669e-10,1.909654958586282e-05,-4.419342943974582e-12,0.5386386833894715,25.845909288076314,0.5390273909983797,900.0,1.0999801906276455e-05,1.0999801906276455e-05,0.9802479566011619,,
PD-002,normal,PASS,False,0.0,167,False,8.036280102598786e-10,50,11927828529591.63,0,210421118224.7244,0,3.877721630380227e-05,50,3.243952832096155e-10,1.0,0.5170188357555391,20260911,2.295986047025771e-14,1.1870680327644228e-14,1.1870680327644228e-14,3.8776412675792006e-05,167,-2.0,3.0787388315268213e-10,1.1938492166189426e-14,0.5170188356772268,7.658039559032767e-10,0.003537249782353407,-4.428966611563045e-13,0.5305505000126576,25.514699351634135,0.5325060432600838,900.0,1.1000008810663395e-05,1.1000008810663395e-05,0.9709163729783162,,
PD-003,normal,PASS,False,0.0,167,False,4.2006233326629846e-10,50,6485452019973.561,0,223138060812.0819,0,4.118688691926787e-05,50,6.895809844019391e-10,1.0,0.5491528914195156,20260912,4.222701484941361e-14,2.3189087300835455e-14,2.3189087300835455e-14,4.11864668569346e-05,167,-2.0,3.665748041800383e-10,1.5098075009059196e-14,0.5491528914257947,3.6803865957473055e-10,0.001937935803161683,-3.822539931997132e-12,0.5588978963137569,26.4738427511827,0.5607628071157014,900.0,1.0999071661752378e-05,1.0999071661752378e-05,0.9792962094712859,,
PD-004,normal,PASS,False,0.0,167,False,7.179043017391858e-10,50,6029675273104.967,0,143497146198.7496,0,4.2230492993395375e-05,50,6.855539688651708e-10,1.0,0.5630636678212145,20260913,4.541891003220789e-14,2.5573738072692236e-14,2.5573738072692236e-14,4.2229775089093634e-05,167,-2.0,4.949117406297995e-10,2.0900366819671286e-14,0.5630636678545818,5.855133326217287e-10,-0.00019536617696087454,-6.23184116516069e-13,0.5768684277912977,27.6778583936549,0.578245970701221,900.0,1.1001009744914116e-05,1.1001009744914116e-05,0.9737442148113868,,
PD-005,normal,PASS,False,0.0,167,False,9.488499531660457e-10,50,7095162184258.694,0,230451973167.6227,0,4.1705344315698194e-05,50,8.540162964337478e-10,1.0,0.5560586060922964,20260914,3.859831130571911e-14,2.1462923186715294e-14,2.1462923186715294e-14,4.170439546574503e-05,167,-2.0,4.0093096005388887e-10,1.6720963723160733e-14,0.5560586062099337,1.0809936337731964e-09,-0.004039143525114511,6.901853147609551e-12,0.566153008284516,23.22186680481775,0.5618029549611095,900.0,1.0999922766180222e-05,1.0999922766180222e-05,0.9897751522434951,,
PD-006,normal,PASS,False,0.0,167,False,8.847448746506684e-10,50,7878572419154.589,0,142691871274.6321,0,3.848811641710593e-05,50,5.065979355203167e-10,1.0,0.5131630892361089,20260915,3.4760266731415e-14,1.7837685849073632e-14,1.7837685849073632e-14,3.848723167223128e-05,167,-2.0,3.8533910385341195e-10,1.483097629260976e-14,0.5131630889630837,9.77561841150372e-10,7.231387208038837e-05,7.946122051275346e-12,0.5234712977779038,23.528827956772602,0.5225743796988759,900.0,1.1000795560526881e-05,1.1000795560526881e-05,0.9819905247671507,,
PD-007,normal,PASS,False,0.0,167,False,4.0341029589680903e-10,50,10905421781537.623,0,255716267621.70743,0,3.8588310187118704e-05,50,3.503865711609501e-10,1.0,0.5145054245423264,20260916,2.5112396772788518e-14,1.2920464341479323e-14,1.2920464341479323e-14,3.8587906776822806e-05,167,-2.0,4.474795055574766e-10,1.7267477968110817e-14,0.5145054236909707,4.347533865430495e-10,0.0014862835375647322,3.6187783051836173e-12,0.521585289366693,23.812682920680174,0.5210813429053989,900.0,1.0998706521866154e-05,1.0998706521866154e-05,0.9873802450494706,,
PD-008,normal,PASS,False,0.0,167,False,5.687798965117143e-10,50,8934542526426.545,0,129119244065.2483,0,3.790163123625059e-05,50,6.097634896752191e-10,1.0,0.5053474994843223,20260917,3.0651964321906526e-14,1.548989352232688e-14,1.548989352232688e-14,3.7901062456354076e-05,167,-2.0,4.0459058454056876e-10,1.533464313809747e-14,0.5053474994180543,6.278013042227326e-10,0.00022035778273797615,4.9942853539447596e-12,0.528527965214473,23.373940662677853,0.5262074603006854,900.0,1.100005410871317e-05,1.100005410871317e-05,0.9603579156061425,,
PD-009,normal,PASS,False,0.0,167,False,1.5454709056293854e-09,50,6355452183471.664,0,144726554420.20773,0,3.743834152325035e-05,50,5.171424844207855e-10,1.0,0.4991572810076321,20260918,4.309076220647236e-14,2.1509067686183864e-14,2.1509067686183864e-14,3.743679605234472e-05,167,-2.0,4.832163720027314e-10,1.8090819571188013e-14,0.49915728069792964,1.3129170735144047e-09,-0.002012967664470162,-8.182796551407688e-12,0.5197916667108897,27.208856433631354,0.5186937665357882,900.0,1.1000616126584939e-05,1.1000616126584939e-05,0.9623352224278061,,
PD-010,normal,PASS,False,0.0,167,False,3.237630015050517e-10,50,7732602329238.211,0,161173531435.70105,0,3.808895943977142e-05,50,6.269520356150099e-10,1.0,0.5078484757330182,20260919,3.541644417909215e-14,1.7986187190721326e-14,1.7986187190721326e-14,3.8088635676769915e-05,167,-2.0,5.751845494112909e-10,2.1908180967339493e-14,0.5078484756902656,3.5711328280179e-10,0.0023114984177528873,2.665642767355438e-12,0.5203472305283658,23.183174730275084,0.5205950379537331,900.0,1.1000123019935923e-05,1.1000123019935923e-05,0.9755153979904728,,
